Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.ph.ereferral.json	25654	-	0	0	0	0	0	0	10	44	0	0	0	0	0	0	0	0	0	0	0	145	232	0	0	0	6	0	2
fsh-generated/resources/Bundle-ExampleERefSubmissionBundle.json	34780	10	69	0	1	0	0	0	5	766	0	0	0	0	0	0	0	1	0	0	0	76	222	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-PHCW.json	448	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	14	85	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-PSOC.json	1634	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	13	68	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ereferral-workflow.json	1847	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	80	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-pwd-disability-type-cs.json	2029	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	12	52	0	0	0	1	0	0
fsh-generated/resources/Condition-ExampleERefCondition.json	1301	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	57	0	0	0	0	0	0
fsh-generated/resources/Condition-ExampleERefConditionChiefComplaint.json	1189	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ExampleERefDiagnosticReport.json	629	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ExampleERefDiagnosticReportPDF.json	852	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	0	0
